Date,Gold Price,Tonnes,North_America,Europe,Asia,Other
2011-04-29,1535.5,2277.9542091,1464.53460135,723.7148007600001,24.726656589999997,64.9781504
2011-05-31,1536.5,2254.15505211,1447.4899670199998,717.4022049399999,25.77426002,63.48862013
2011-06-30,1505.5,2272.51693649,1451.92385497,726.8974920300001,29.82755462,63.86803487
2011-07-29,1628.5,2389.88128337,1526.80871918,768.80218702,30.39284122,63.87753595
2011-08-31,1813.5,2390.80825242,1508.3558547,789.2743841299999,31.765013510000003,61.41300008
2011-09-30,1620.0,2384.71144705,1503.8682503000002,781.2213094299999,39.12078734,60.50109998
2011-10-31,1722.0,2422.80306451,1518.75674089,804.3829084200001,41.721959299999995,57.9414559
2011-11-30,1746.0,2531.70725047,1612.66999353,820.6617742300001,41.8523089,56.52317381
2011-12-30,1574.5,2510.47564818,1569.66050825,841.0279957900001,43.37569087000001,56.41145327
2012-01-31,1744.0,2528.63913863,1595.2367752600003,833.8929361200001,43.57041716,55.93901009
2012-02-29,1770.0,2554.0539558,1623.1956739500001,832.2967370999999,43.422709760000004,55.13883499
2012-03-30,1662.5,2573.44004726,1616.5911024400002,855.7581205999999,45.835026989999996,55.25579722999999
2012-04-30,1651.25,2568.02585743,1607.73305963,859.76633451,46.18147715999999,54.344986129999995
2012-05-31,1558.0,2527.86487595,1595.1773326700002,832.54284105,46.50144964,53.643252589999996
2012-06-29,1598.5,2571.62211781,1609.1365070000002,862.1289792000001,45.492956830000004,54.863674780000004
2012-07-31,1622.0,2555.8843112,1583.6047157599999,870.4857633199998,45.732844930000006,56.060987190000006
2012-08-31,1648.5,2635.84512458,1628.9767978,905.0460285400002,45.39696097000001,56.42533727
2012-09-28,1776.0,2714.96964376,1678.9781906299997,930.7317690800002,46.47547056,58.78421348999999
2012-10-31,1719.0,2760.43963823,1702.8721889600004,949.53031052,47.17892736,60.858211389999994
2012-11-30,1726.0,2791.285159,1719.1868895,962.6278102999999,47.97878057000001,61.491678629999996
2012-12-31,1664.0,2803.01070434,1727.64294959,963.77888976,49.54000465,62.04886034
2013-01-31,1664.75,2780.77589128,1707.9205399400003,959.8199620600001,50.149129359999996,62.88625992
2013-02-28,1588.5,2662.46869446,1631.12237365,920.97425163,48.660232300000004,61.71183688
2013-03-29,1598.25,2611.99853371,1592.2148043000002,908.77738307,49.42879214,61.577554199999994
2013-04-30,1469.0,2433.18300174,1431.7438207599998,888.1713177500001,49.69885705000001,63.569006179999995
2013-05-31,1394.5,2285.713494,1354.7117736200003,820.2727747800001,49.41051532,61.318430279999994
2013-06-28,1192.0,2191.36135055,1301.82352811,782.8937883,48.62431143,58.019722709999996
2013-07-31,1314.5,2116.31141875,1257.65688564,751.3893397699998,50.15837133,57.106822009999995
2013-08-30,1394.75,2092.72158287,1249.3641541900001,738.26612736,48.65619518,56.435106139999995
2013-09-30,1326.5,2067.33932689,1235.35532325,729.8843817000001,46.599903270000006,55.49971867
2013-10-31,1324.0,2012.91420764,1194.25794433,718.5710712499999,44.62366297,55.46152909
2013-11-29,1253.0,1964.35201053,1161.37928814,704.2235309400002,43.28967376,55.45951769
2013-12-31,1201.5,1873.7908323,1108.8486284300002,666.5042925799999,43.46212013,54.97579115999999
2014-01-31,1251.0,1844.81491668,1096.79256263,650.2297170699999,42.770591620000005,55.02204536
2014-02-28,1326.5,1855.25820704,1106.75966708,652.2096388499999,42.81417227,53.474728840000004
2014-03-31,1291.75,1865.61458757,1116.73633455,653.5608167600001,42.28168006,53.0357562
2014-04-30,1288.5,1851.11782826,1090.9844805100001,665.6104278100001,40.601726809999995,53.92119312999999
2014-05-30,1250.5,1842.7891447,1087.99858077,659.43177754,40.818286430000015,54.540499960000005
2014-06-30,1315.0,1842.80853025,1095.30550792,651.6231405899999,40.73290101999999,55.14698072
2014-07-31,1285.25,1851.15284247,1106.4831166,649.12118386,40.42517521,55.12336680000001
2014-08-29,1285.75,1840.48358004,1098.45958656,650.90769266,40.00826368,51.10803714
2014-09-30,1216.5,1795.32136589,1069.3707145300002,633.74895775,40.04723088,52.15446273
2014-10-31,1164.25,1766.84016863,1039.82078519,633.80341275,40.41495002,52.80102067
2014-11-28,1182.75,1730.41496042,1014.19229528,627.20425665,40.16717324,48.851235249999995
2014-12-31,1199.25,1711.52928552,1002.4618049400001,622.0961172799998,40.03220077,46.93916253
2015-01-30,1260.25,1771.03913401,1057.15563409,628.83999708,38.901673460000005,46.14182938
2015-02-27,1214.0,1791.40963237,1068.04200556,641.4372085000001,38.955905210000005,42.97451310000001
2015-03-31,1187.0,1739.52117808,1031.99782735,623.98121388,40.95105057,42.59108628
2015-04-30,1180.25,1746.69123585,1035.07302613,630.41976833,40.65258576,40.54585563
2015-05-29,1191.4,1726.32977405,1012.0387613,634.1916773699999,39.92107027,40.178265110000005
